No,Site Code,Site Name,Store Type,Region,Installed,Closure Date,VA Serial No,VA Firmware,Date Upgrade ,Loopback IP,LAN IP,Primary,Owner,Speed,Service ID / Serial No,Service No / MAC,Acount,Secondary,Owner,Service ID / Serial No,ATA IP,Serial No,MAC ID,DID 1,DID 2,Outlet Email Address,Service Address
1,FCGPO,Frederique Constant GPO,Frederique Constant,Pahang,07-Jun-2017,,00E0C8118D9F,image2 - LIS-15.00.76.000,,172.29.110.72,10.70.5.254,Metro-E,N'osairis,,,03-64368173,,3G - Digi,N'osairis,89601616102801026351,10.70.5.80,A40064762662,F4B549F1471E,03-92124926,03-92124927,fcgpo@fjbenjamin.com.my,"SUITE 128, HIGH STREET, GENTING PREMIUM OUTLETS, KM13, GENTING HIGHLANDS, 69000 PAHANG DARUL MAKMUR"
2,,FW HQ MAXIS,HQ (Backup0,Kuala Lumpur,,,,,,,,Maxis - Fiber,FJ Benjamin,300mbps,,03-23035065,1390402996,N/A,,,,,,,,,
3,,FW HQ TIME,HQ (Primary),Kuala Lumpur,,,,,,,,TIME,N'osairis,100mbps,,TBBN111884G,3.01629E+11,N/A,,,,,,,,,
4,GSAMIRI,Guess Acc Permaisuri Imperial City,Guess,Sarawak,21-Jun-2017,,00E0C81601C8,image2 - LIS-15.00.76.000,,172.29.110.61,10.10.29.254,TM - Streamyx,N'osairis,2mbps,guspicit@streamyx,085-410015,U60032-199-2905,3G - Digi,N'osairis,89601616102801069922,10.10.29.80,A40065297723,f4:b5:49:f1:79:30,082 262516,082 262517,gsamiri@fjbenjamin.com.my,"LOT GF16 GF IMPERIALMALL, JLN MERPATI, SARAWAK, 98000."
5,GSAJUSCOS2,Guess Acc.Seremban,Guess,Negeri Sembilan,29-May-2017,,00E0C8118D98,image1 - LIS-15.00.87.000rc19,,172.29.110.45,10.10.17.254,TM - Streamyx,N'osairis,2mbps,gueserem@streamyx,06-6011412 ,U60031-981-3602,3G - Celcom,N'osairis,8960191403646641078,10.10.17.80,A40065227103,f4:b5:49:f1:79:2c,06 6020 516,06 6020 517,gsajuscos2@fjbenjamin.com.my,"LOT G29, GF JUSCO SEREMBAN 2 SHOPPING CENTRE NO. 112, PERSIARAN S2 B1 SEREMBAN 2 70300 SEREMBAN, NEGERI SEMBILAN"
6,GSBKTG,Guess Bukit Tinggi,Guess,Pahang,10-Jun-2016,,00E0C8130245,image1 - LIS-15.00.76.000,,172.29.110.3,10.10.2.254,Maxis - Fiber,N'osairis,8mbps,,367186,2059083762,3G - Celcom,N'osairis,8960191309627504773,10.10.2.80,A40064798465,f4:b5:49:f1:47:12,03 3385 2249,03 3385 2250,gsbktg@fjbenjamin.com.my,"GROUND FLOOR LOT NO. 69, AEON BUKIT TINGGI, NO.1, PERSIARAN BATU NILAM 1/KS 6,"
7,GSPDVO,Guess Design Village,Guess,Penang,21-Nov-2016,,00E0C8130080,image1 - LIS-15.00.76.000,,172.29.110.11,10.10.6.254,TM - Unifi,N'osairis,30mbps,guessdv2016@unifbiz,04-5899228,1032173245,3G - Digi,N'osairis,89601615110400590025,10.10.6.80,A40065227529,f4:b5:49:f1:79:36,04 5410 514,04 5410 515,gspdvo@fjbenjamin.com.my,"LOT G-85B, DESIGN VILLAGE OUTLET MALL, NO. 733, JALAN CASSIA BARAT 2, 14110 BANDAR CASSIA, PENANG."
8,GSECM,Guess East Coast Mall,Guess,Pahang,29-May-2017,,00E0C8118D93,image2 - LIS-15.00.76.000,,172.29.110.54,10.10.25.254,Maxis - Fiber,N'osairis,8mbps,,413449,2113890038,3G - Maxis,N'osairis,8960011509305133997,10.10.25.80,A40065214365,f4:b5:49:f1:79:2f,09 5220 211,09 5220 212,gsecm@fjbenjamin.com.my,"LOT GF-62A, GROUND FLOOR,EAST COAST MALL, JALAN PUTRA SQUARE 6,PUTRA SQUARE,25200 KUANTAN, PAHANG."
9,GSGPO,Guess GPO (sharing with TLABGPO),Guess,Pahang,06-Jun-2017,,00E0C8150870,,,172.29.110.112,10.10.30.254,Metro-E,N'osairis,,, 03-6436 8163,,4G - Yes LTE,N'osairis,YESLB0101400 (nosairis064_1),10.10.30.80,A40064753507,f4:b5:49:f1:47:ce,03 9212 4930,03 9212 4931,gsgpo@fjbenjamin.com.my,"SUITE 402, HIGH STREET, GENTING PREMIUM OUTLETS, KM13, GENTING HIGHLANDS, 69000 PAHANG DARUL MAKMUR"
10,GSIMAGO,Guess Imago,Guess,Sabah,30-Jan-2018,,00E0C816044C,image2 - LIS-15.00.76.000,,172.29.110.60,10.10.28.254,TM - Unifi,N'osairis,10mbps,imago1@unifibiz,088-274902,1037235353,3G - Celcom,N'osairis,8960191403646640864,10.10.28.80,A40064765918,f4:b5:49:f1:47:9b,088 335 615,088 335 616,gsimago@fjbenjamin.com.my,"G-35C IMAGO KK TIMES SQUARE PHASE 2, OFF COASTAL HIGHWAY, 88100 KOTA KINABALU, SABAH"
11,GSIOI,Guess IOI City Mall,Guess,Kuala Lumpur,21-Sep-2016,,00E0C81302ED,image1 - LIS-15.00.76.000,,172.29.110.2,10.10.1.254,Maxis - Fiber,FJ Benjamin,8mbps,,237470,1819790039,3G - Celcom,N'osairis,8960191403646648305,10.10.1.197,A40065254819,f4:b5:49:f1:79:37,03 8684 2275,03 8684 2276,gsioi@fjbenjamin.com.my,"LOT NO. G 76-78, CITY MALL, LEBUH IRC, IOI CITY, PUTRAJAYA,, IOI RESORT, 62502 PUTRAJAYA, SELANGOR, MALAYSIA"
12,GSIPOH18,Guess Ipoh Station 18,Guess,Perak,09-Jun-2017,,00E0C8118D80,image2 - LIS-15.00.76.000,,172.29.110.51,10.10.23.254,TM - Streamyx,N'osairis,2mbps,gussta18@streamyx,05-3210599,U60032-119-4607,3G - Celcom,N'osairis,8960191403146877875,10.10.23.80,A40065210021,f4:b5:49:f1:79:51,05 2380 700,05 2380 701,gsipoh18@fjbenjamin.com.my,"LOT G37, GF, AEON IPOH STATION 18 SHOPPING CENTRE, NO 2, SUSURAN STATION 18, STATION 18, PERAK, 31650"
13,GSJPO,Guess JPO,Guess,Johor,15-Jun-2017,,00E0C81601BA,image2 - GIG-15.00.72.000,,172.29.110.81,10.10.32.254,TM - Unifi,FJ Benjamin,5mbps,guessjpo@unifibiz,07-5909294,1004519250,3G - Maxis,TNS,8960011706473926877,10.10.32.80,A40065239122,f4:b5:49:f1:79:3d,07-2132417,07-2132418,gsjpo@fjbenjamin.com.my,"532, JALAN PREMIUM OUTLETS, INDAHPURA, 81000, JOHOR, MALAYSIA"
14,BGUTAMA2,Guess Kid One Utama,Guess,Selangor,28-Feb-2017,,00E0C816037B,image2 - LIS-15.00.74.000,,172.29.110.25,10.10.11.254,TM - Unifi,N'osairis,10mbps,gueeskid1u@unifibiz,03-77318066,,3G - Maxis,N'osairis,8960011701433986756,10.10.11.80,A40054902382,f4:b5:49:f0:5d:e0,03 7890 3112,03 7890 3113,bgutama@fjbenjamin.com.my,"LOT S339, 2ND FLR ONE UTAMA SHOPPING CENTRE NO. 1 LEBUH BANDAR UTAMA BANDAR UTAMA DAMANSARA 47800 PETALING JAYA"
15,BGPAV,Guess Kid Pavillion,Guess,Kuala Lumpur,28-Feb-2017,,00E0C81308D4,image2 - LIS-15.00.76.000,,172.29.110.30,10.10.14.254,Maxis - Fiber,N'osairis,8mbps,,393791,2113890038,3G - Maxis,N'osairis,8960011506288857634,10.10.14.80,A40065283468,f4:b5:49:f1:79:35,03 9212 4442,03 9212 4443,bgpav@fjbenjamin.com.my,LOT 5.33 & 5.34 PAVILION JALAN BUKIT BINTANG 50250 KUALA LUMPUR
16,BGQBAY,Guess Kid Queensbay Mall,Guess,Penang,16-May-2017,,00E0C8118D9B,image1 - LIS-15.00.87.000rc19,,172.29.110.62,10.10.18.254,Maxis - Fiber,N'osairis,8mbps,,394839,2113890038,3G - Maxis,N'osairis,8960011509305134599,10.10.18.80,A40065218032,f4:b5:49:f1:79:3b,04 2022 113,04 2022 114,bgqbay@fjbenjamin.com.my,"LOT 2F-55 TO 2F-57 QUEENSBAY MALL, NO 100, PERSIARAN BAYAN INDAH, SG. NIBONG, 11900 BAYAN LEPAS, PENANG"
17,GSKBM,Guess Kota Bharu,Guess,Kelantan,04-Nov-2016,,00E0C81300EC,image2 - LIS-15.00.76.000,,172.29.110.4,10.10.4.254,TM - Unifi,FJ Benjamin,30mbps,fjbenjamin_kb@unifibiz,09-7405527,1030208787,3G - Maxis,N'osairis,8960011509305125597,10.10.4.80,A40065255404,f4:b5:49:f1:79:2a,09 7061502,09 7061503,gskbm@fjbenjamin.com.my,"GUESS BOUTIQUE@LOT G06, G FLOOR,KAMPUNG LEMBAH SIREH, 15050 KOTA BHARU, KELANTAN, MALAYSIA"
18,GSMITSUI,Guess Mitsui,Guess,Selangor,03-Oct-2017,,00E0C8130156,image1 - LIS-15.00.76.000,,172.29.110.16,10.10.7.254,TIME,FJ Benjamin,6mbps,TBBN036333V,fjbenjamin@timebb ,2.01365E+13,3G - Maxis,N'osairis,8960011411223127807,10.10.7.80,A40054935499,f4:b5:49:f0:5d:70,03 8703 2170,03 8703 2171,gsmitsui@fjbenjamin.com.my,"LOT NO. G-35 & G-36 NO F47, TINGKAT 1, MITSUI OUTLET PARK KLIA PERSIARAN KOMERSIAL 64000 KLIA, SELANGOR DARUL EHSAN"
