NO,TICKET,WEEK,SEVERITY,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (10AM-10PM),SERVICE-IMPACT END (10AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY
1,198047,1,3,FJB::Guess::Guess - Design Village,Monitoring,4/1/2020 0:09,4/1/2020 10:19,,,0 days 0 hrs 0 mins ,,<Open Ticket>,"Issue: Primary link TM not stable
Updated: Telco check been done. Premise closed till 28th April, followup with end user to reboot the TM modem once premise open (after 12 May 2020).",Nathasha
2,198055,1,2,FJB::Guess::Guess - Design Village,Monitoring,4/1/2020 1:59,4/1/2020 2:20,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,"Escalated to TM for checking into primary link issue. 
Please refer NTS ticket no #198047 for primary link.",Nathasha
3,198036,1,2,FJB::Guess::Guess - Design Village,Monitoring,4/1/2020 0:09,4/1/2020 0:10,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,"Monitored site is up once fail over to backup link. 
Kindly refer ticket number for primary link down (198047)",Nathasha
4,198051,1,2,FJB::Guess::Guess - Design Village,Monitoring,4/1/2020 1:29,4/1/2020 1:32,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,Escalated to TM for checking into primary link issue. Please refer NTS ticket no #198047 for primary link.,Nathasha
5,198497,1,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/3/2020 5:26,4/3/2020 5:27,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,Self restored,Wany
6,198641,1,2,FJB::SuperDry::SuperDry Sunway Velocity,Monitoring,4/3/2020 18:36,4/9/2020 18:32,4/3/2020 18:36,4/9/2020 18:32,5 days 23 hrs 56 mins ,,Others::Customer - Power Outage,Links are up once power resumed ,Wany
6,198641,1,2,FJB::SuperDry::SuperDry Sunway Velocity,Monitoring,4/9/2020 18:37,4/21/2020 18:33,4/9/2020 18:37,4/21/2020 18:33,11 days 23 hrs 56 mins ,,Others::Customer - Power Outage,Links are up once power resumed ,Wany
7,198797,1,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/4/2020 15:41,4/4/2020 16:13,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,"Site using 3G-3G, link is up via self restored. Suspected primary link Digi 3G flapping.",Wany
8,198875,1,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/4/2020 21:19,4/4/2020 21:30,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power resumed. ,Wany
8,198875,1,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/4/2020 21:35,4/4/2020 21:46,,,0 days 0 hrs 0 mins ,,,,
9,199348,2,2,FJB::LaSenza::La Senza - Station 18,Monitoring,4/6/2020 20:11,4/6/2020 20:13,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping,"Issue: Site total down
Remark:  Primary link was flapping and link monitored up via self-restored. 
Backup unable to triggered yet as it only 2 minute downtime.",Nathasha
10,199480,2,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/7/2020 6:35,4/7/2020 6:39,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Nathasha
11,199459,2,2,FJB::US Polo Assn::US Polo Assn (USPA) - JPO,Monitoring,4/7/2020 4:27,4/7/2020 4:28,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping, Link is up via self-restored ,Nathasha
12,199461,2,2,FJB::SuperDry::Superdry - Midvalley,Monitoring,4/7/2020 4:41,4/7/2020 4:50,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping,"Issue: Site total down
Remark:  Primary link was flapping and link monitored up via self-restored. 
Backup was bouncing at the same time leads to site total down.
Remarks: Ticket were accidentally merged into ticket #197669.",Nathasha
