NO,TICKET,WEEK,SEVERITY,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (10AM-10PM),SERVICE-IMPACT END (10AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY
1,192671,4,2,FJB::Rebecca Minkoff::Rebecca Minkoff - KLCC,Monitoring,3/1/2020 13:49,3/1/2020 14:24,3/1/2020 13:49,3/1/2020 14:24,0 days 0 hrs 35 mins ,,WAN::WAN Primary - Session Hang,Site was total down due to primary TM session hang and backup signal was flapping. Primary link restored once TM reset port & refresh session. Backup link up via self restored.,Shalini
2,192756,1,3,FJB::US Polo Assn::US Polo Assn (USPA) - Melawati,Monitoring,3/2/2020 9:32,3/2/2020 11:17,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,"Site was total down and restored via 3G. Upon rebooted TM modem, primary link still not triggered then requested L3 to upgrade VA router firmware and proceed to rebooted VA router. Primary link triggered once VA router upgraded and rebooted.",Wany
3,193217,1,3,FJB::SuperDry::SuperDry - Sunway Velocity,Client,3/4/2020 10:04,3/18/2020 21:39,,,0 days 0 hrs 0 mins ,"5/3 - FE Faizol
11/3 -FE Faizol
13/3 - FE Hafiz",WAN::WAN Router Configuration,"Root Cause: WAN Router Configuration 
Solution: VOIP issue resolved once L2 standardize UDS config in VA router as advised by VA support Team

Remarks:
1) Analyze the issue by further troubleshooting with our respective team (Virtual Access).
2) L2 did comparison for router configuration (UDS script) between this site with other FJB sites as per advice by respective team.
3) L2 find out that the UDS script used for this site is different with other site, thus L2 proceed to standardize the UDS script configuration.
4) Monitored IPSec towards FJB HQ and IPsec towards AWS (monitoring zabbix) is stable.
5) Tested incoming/outgoing call. There is no disconnection happen for ATA phone line as per verified by end user onsite.",Farhan
4,193161,1,2,FJB::Pretty Ballerinas::Pretty Ballerinas - The Garden,Monitoring,3/4/2020 5:44,3/4/2020 6:12,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Primary link up once TM done reset port and refresh session while backup link faced signal flapping and self restored.,Farhan
5,193135,1,2,FJB::Guess::Guess - Pavillion,Monitoring,3/4/2020 0:16,3/4/2020 0:52,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Primary link flapping and self restored while backup link is having signal bouncing followed by self restored as well.,Farhan
6,193369,1,2,FJB::SuperDry::SuperDry - Gurney Plaza,Monitoring,3/5/2020 9:14,3/5/2020 9:30,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Links are up once power resumed,Shalini
7,193369,1,2,FJB::SuperDry::SuperDry - Gurney Plaza,Monitoring,3/5/2020 9:35,3/5/2020 9:57,,,0 days 0 hrs 0 mins ,,,,
8,193314,1,2,FJB::SuperDry::Superdry - Midvalley,Monitoring,3/5/2020 0:32,3/5/2020 2:26,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,"Links are up once power resumed
",Shalini
9,193678,1,2,FJB::Rebecca Minkoff::Rebecca Minkoff - KLCC,Monitoring,3/7/2020 18:18,3/7/2020 19:20,3/7/2020 18:18,3/7/2020 19:20,0 days 1 hrs 2 mins ,,WAN::WAN Primary - Modem Hang,"As for primary , th link is monitored up after reset port and reboot router. 
For backup, the link is up via self restored",Nathasha
10,193805,1,2,FJB::Pretty Ballerinas::Pretty Ballerinas - The Garden,Monitoring,3/8/2020 19:25,3/8/2020 19:31,3/8/2020 19:25,3/8/2020 19:31,0 days 0 hrs 6 mins ,,Others::Customer - Power Outage,"Links are up once power resumed
",Nathasha
11,193859,2,2,FJB::Marc Jacob::Marc Jacob - KLCC,Monitoring,3/9/2020 10:10,3/9/2020 11:10,3/9/2020 10:10,3/9/2020 11:10,0 days 1 hrs 0 mins ,,Others::Customer - Power Outage,"Links are up once power resumed
",Nathasha
12,193937,2,2,FJB::Guess::Guess - Kid Queensbay Mall,Monitoring,3/9/2020 16:07,3/9/2020 16:11,3/9/2020 16:07,3/9/2020 16:11,0 days 0 hrs 4 mins ,,Others::Customer - Power Outage,"Links are up once power resumed
",Nathasha
13,193970,2,2,FJB::LaSenza::LaSenza - Sunway Velocity,Monitoring,3/10/2020 0:16,3/10/2020 3:52,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,"Links are up once power resumed
",Wany
14,193987,2,2,FJB::LaSenza::La Senza - Sunway Pyramid,Monitoring,3/10/2020 5:00,3/10/2020 5:43,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,"Links are up once power resumed
",Wany
15,194032,2,2,FJB::Rebecca Minkoff::Rebecca Minkoff - KLCC,Monitoring,3/10/2020 11:11,3/10/2020 12:03,3/10/2020 11:11,3/10/2020 12:03,0 days 0 hrs 52 mins ,,WAN::WAN Primary - Session Hang,Primary facing session hang and backup flapped lead site total down. Link up after TM refresh session and FOT success.,Wany
16,194352,2,3,FJB::SuperDry::SuperDry - Sunway Velocity,Client,3/12/2020 15:55,3/18/2020 21:39,,,0 days 0 hrs 0 mins ,13/3 - FE Hafiz,WAN::WAN Router Configuration,"Root Cause: WAN Router Configuration 
Solution: Issue resolved once L2 standardize UDS config in VA router as advised by VA Support

Remarks:
1) Analyze the issue by further troubleshooting with our respective team (Virtual Access).
2) L2 did comparison for router configuration (UDS script) between this site with other FJB sites as per advice by respective team.
3) L2 find out that the UDS script used for this site is different with other site, thus L2 proceed to standardize the UDS script configuration.
4) Monitored IPSec towards FJB HQ and IPsec towards AWS (monitoring zabbix) is stable.",Farhan
