NO,TICKET,WEEK,SEVERITY,State,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START,SERVICE-IMPACT END,SERVICE DOWNTIME,ONSITE,DESCRIPTION,ROOT CAUSE,REMARKS,REVISED BY
1,204022,5,1,Perak,PMP::A046::dmcm20281av & dmcm20281bv,Monitoring,05/01/2020 0:22:46,05/01/2020 0:27:45,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
2,204181,5,3,Selangor,PMP::B025::dmcm20202av,Monitoring,04/04/2020 14:13:00,,,,0 days 0 hrs 0 mins ,,AV Wired Down,<Open Ticket>,"Issue: AV Wired monitored down
Update:  Site temporary closed between 18th march - 9th June 2020.",Wany
3,204092,5,3,KL,PMP::W036::dmcm20007av,Monitoring,04/04/2020 0:10:30,,,,0 days 0 hrs 0 mins ,,AV Wired Down,<Open Ticket>,"Issue: AV Wired monitored down
Update:  Site temporary closed between 18th march - 9th June 2020.",Wany
4,204084,5,3,KL,PMP::W033::dmcm20006av,Monitoring,05/01/2020 6:45:00,05/04/2020 23:00:30,,,0 days 0 hrs 0 mins ,,AV Wired Down,NTS::WAN Wired - Session Hang,Link monitored up after TM done reset port and refresh session,Nathasha
5,204035,5,3,KL,PMP::W094::dmcm20011bv,Monitoring,05/01/2020 2:42:00,05/01/2020 5:36:00,,,0 days 0 hrs 0 mins ,,BV Cellular Down (Celcom),NTS::WAN Wireless - Flapping,BV router monitored up after telco reset cellular network from their end.,Wany
6,204352,5,3,KL,PMP::W094::dmcm20011bv,Monitoring,05/01/2020 21:19:00,05/02/2020 1:46:00,,,0 days 0 hrs 0 mins ,,BV Cellular Down (Celcom),NTS::WAN Wireless - Flapping,BV link up once telco done reset cellular network from their end.,Wany
7,204126,5,1,Perak,PMP::A005::dmcm20247av & dmcm20247bv,Monitoring,05/01/2020 12:26:01,05/01/2020 14:30:01,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
8,204360,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/01/2020 22:14:48,05/01/2020 22:15:47,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and both AV & BV Wireless faced signal flapping causing the site total down recently.",Wany
9,204026,5,1,Perak,PMP::A031::dmcm20268av & dmcm20268bv,Monitoring,05/01/2020 1:00:48,05/01/2020 1:04:48,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
10,204586,5,1,Selangor,PMP::W006::dmcm20110av & dmcm20110bv,Monitoring,05/02/2020 15:48:00,05/04/2020 15:48:00,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
11,204467,5,1,Perak,PMP::A029::dmcm20266av & dmcm20266bv,Monitoring,05/02/2020 10:23:16,05/02/2020 10:25:15,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
12,204699,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/02/2020 21:52:48,05/02/2020 21:53:48,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and BV router vlan5 connection monitored down (#204724) while AV wireless flapping lead site total down.",Wany
13,204387,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/02/2020 6:38:48,05/02/2020 6:58:48,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and BV router vlan5 connection monitored down (#204724) while AV wireless flapping lead site total down.",Wany
14,204369,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/02/2020 0:32:48,05/02/2020 0:34:47,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and BV router vlan5 connection monitored down (#204724) while AV wireless flapping lead site total down.",Wany
15,204707,5,1,Johor,PMP::J012::dmcm20219av & dmcm20219bv,Monitoring,05/02/2020 23:09:48,05/03/2020 2:28:48,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,"AV wireless flapping & self restored. 
Remarks: AV Wired currently down (single-leg failure #201202) and BV router vlan5 connection monitored down (#204724) while AV wireless flapping lead site total down.",Wany
16,204690,5,1,Pahang,PMP::V022::dmcm20345av & dmcm20345bv,Monitoring,05/02/2020 21:35:10,05/07/2020 21:36:10,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
17,204479,5,1,Pahang,PMP::V022::dmcm20345av & dmcm20345bv,Monitoring,05/02/2020 10:59:10,05/08/2020 11:01:10,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),NTS::WAN Wireless - Flapping,Site is using dual 3G. AV wireless flapped for 1 min and restored while BV unable to triggered due to short downtime lead site total down.,Wany
18,204378,5,1,KL,PMP::W015::dmcm20116av & dmcm20116bv,Monitoring,05/02/2020 3:47:46,05/04/2020 9:14:45,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Nathasha
19,204724,5,3,Johor,PMP::J012::dmcm20219bv,Monitoring,04/25/2020 1:06:47,,,,0 days 0 hrs 0 mins ,,BV Router Down,<Open Ticket>,"Issue: BV router UP but VLAN5 DOWN
Update: Site temporary closed between 18th march - 9th June 2020.",Wany
20,205025,5,1,Perak,PMP::A057::dmcm20291av & dmcm20291av,Monitoring,05/03/2020 18:50:13,05/03/2020 19:01:13,,,0 days 0 hrs 0 mins ,,Site Total Down (Off-Operation Hours),Customer::Power Outage,Link is up once power resumed.,Wany
21,204934,5,2,Pahang,PMP::W076::dmcm20167av,Monitoring,05/03/2020 15:11:50,05/03/2020 19:02:50,,,0 days 0 hrs 0 mins ,,High Latency / Slow Ticket Transaction,NTS::WAN Wireless - High Latency,Site is using dual 3G. High latency issue resolved once telco reset cellular network.,Wany
22,204989,5,3,KL,PMP::W014::dmcm20002av,Monitoring,04/04/2020 17:14:40,,,,0 days 0 hrs 0 mins ,,AV Wired Down,<Open Ticket>,"Issue: AV Wired monitored down
Update:  Site temporary closed between 18th march - 9th June 2020.",Wany
23,204967,5,3,Johor,PMP::J024::dmcm20228av,Monitoring,05/03/2020 16:05:47,05/05/2020 18:27:00,,,0 days 0 hrs 0 mins ,,AV Wired Down,NTS::WAN Wired - Session Hang,Monitored link up after TM done reset port and refresh session,Nathasha
24,204824,5,2,Selangor,PMP::B015::dmcm20206av,PMP,05/03/2020 16:05:47,,,,0 days 0 hrs 0 mins ,,High Latency / Slow Ticket Transaction,<Open Ticket>,"Issue: Client escalate on the terminal showing comm retrying.
Update: Link is up via primary link DSL. Site temporary closed between 18th march - 9th June 2020.",Wany
