NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY,,,,,,,,,,
5,192678,4,3,E-Money,Vinx::Aeon BIG::0030_ABG Bukit Rimau,Monitoring,03/01/2020 12:20:42,03/01/2020 16:20:42,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup Wired  - Modem Hang,Link restored after telco refresh session and TM Modem rebooted,Shalini,,,,,,,,,,
9,192746,1,3,E-Money,Vinx::Aeon BIG::0016_ABG Midvalley,Monitoring,03/02/2020 7:22:00,03/02/2020 10:05:00,,,0 days 0 hrs 0 mins ,,WAN::WAN - Planned Maintenance,IPME Swing over activity. Activity completed and application working fine as verified by Raman in Vinx Group.,Wany,,,,,,,,,,
16,193130,1,2,E-Money,Vinx::AMY::1005_AMY Bukit Raja (Bandar Baru Klang),Monitoring,03/04/2020 0:03:00,03/04/2020 0:13:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power is resumed,Farhan,,,,,,,,,,
17,193130,1,2,E-Money,Vinx::AMY::1005_AMY Bukit Raja (Bandar Baru Klang),Monitoring,03/04/2020 0:03:12,03/04/2020 0:13:12,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Wany,,,,,,,,,,
19,193136,1,2,E-Money,Vinx::AMY::1028_AMY Kulai Jaya,Monitoring,03/04/2020 0:27:00,03/04/2020 2:02:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power is resumed,Farhan,,,,,,,,,,
30,193457,1,2,E-Money,Vinx::AMY::1028_AMY Kulai Jaya,Monitoring,03/06/2020 0:47:52,03/06/2020 2:01:52,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power is resumed,Shalini,,,,,,,,,,
37,193593,1,3,E-Money,Vinx::Aeon BIG::0032_ABG Puchong,Monitoring,03/06/2020 8:38:50,03/06/2020 23:43:50,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Cabling,Link is up once primary LAN cable inserted to GE WAN 0 port,Nathasha,,,,,,,,,,
43,193584,1,3,E-Money,Vinx::AMY::1014_AMY Cheras Selatan,Monitoring,03/06/2020 22:40:23,03/07/2020 1:50:23,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Telco Outage,Link is up and stable once telco have resolved the network outage from their end,Shalini,,,,,,,,,,
50,193848,2,3,E-Money,Vinx::Aeon BIG::0026_ABG Tropicana City Mall,Monitoring,03/09/2020 9:31:00,03/09/2020 9:45:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Nathasha,,,,,,,,,,
52,193915,2,3,E-Money,Vinx::Aeon BIG::0037_ABG Alor Setar,Monitoring,03/09/2020 12:27:45,03/09/2020 14:27:45,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup Wired  - Session Hang,Link is up once TM refresh session and bounce tunnels,Nathasha,,,,,,,,,,
