NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY
1,198205,1,3,Wellness,Vinx::AMY::1040_AMY Nilai,Monitoring,04/01/2020 11:17:00,04/01/2020 12:16:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link is up once TM refresh session,Nathasha
2,198274,1,3,Daiso,Vinx::Daiso::5133_Daiso Princess Cove,Monitoring,04/01/2020 23:01:00,04/01/2020 23:31:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link restored after telco reset sim and we reset network cellular,Nathasha
3,198178,1,3,Daiso,Vinx::Daiso::5148_Daiso Viva Home,Monitoring,04/01/2020 8:02:00,04/01/2020 11:28:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link is up once TM reset port and next tier team bounced GE WAN 0,Nathasha
4,198122,1,3,AMY,Vinx::AMY::1009_AMY Taman Universiti,Client,04/01/2020 3:38:00,04/03/2020 13:05:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Primary link up after PIC rebooted TM modem,Nathasha
5,198137,1,3,ABG,Vinx::Aeon BIG::0021_ABG Klang,Monitoring,04/01/2020 3:31:04,04/01/2020 7:41:04,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link up once we shut/unshut the backup tunnel 130,Nathasha
6,198110,1,3,ABG,Vinx::Aeon BIG::0021_ABG Klang,Monitoring,04/01/2020 4:34:00,04/01/2020 9:19:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link is up once TM refresh session ,Nathasha
7,198272,1,3,AeonRocky,Vinx::Aeon Rockey::5702_Aeon Rockey Tebrau City,Client,04/01/2020 21:19:00,04/03/2020 17:01:00,,,0 days 0 hrs 0 mins ,,WAN::WAN VoIP - No Issue Found,Received escalation from user there are facing credit card terminal connection down,Nathasha
8,198063,1,3,AMY,Vinx::AMY::1020_AMY Ampang Utara (AU2),Monitoring,04/01/2020 3:18:00,04/01/2020 5:46:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Backup link up once signal stable,Nathasha
9,198129,1,2,AMY,Vinx::AMY::1020_AMY Ampang Utara (AU2),Monitoring,04/01/2020 5:48:00,04/01/2020 8:15:00,04/01/2020 8:00:00,04/01/2020 8:15:00,0 days 0 hrs 15 mins ,,Others::Customer - Power Outage,Links are up once power resumed,Nathasha
12,198103,1,3,Mini Convenience Shop,Multiple Maxis Link Down | VINX WAN 6 sites (VXMA Router) and 12 sites (VXMB Router),Monitoring,04/01/2020 3:46:00,04/01/2020 7:41:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Telco Outage,"Line card had been reset and reloaded
",Nathasha
