,Store Code,Site Name,Store Type,TNS Link ID,TNS Name Portal,Region,Installed,Closure Date,Router Serial No,Primary,Owner,Speed,Service ID / Serial No,Service No / MAC,Account ,Secondary,Owner,Service ID / Serial No,Service No / MAC,Account,Router IP Address ,LAN Core IP ,Switch Model,Switch Serial No,Phone 1,Phone 2,Phone 3,Phone 4,Phone 5,Phone 6,Service Address
1,37,ABG Alor Setar,Aeon BIG,vxmb00029v,ABG_Alorsetar,Kedah,26-Oct-16,,FGL204023KS,TM - Unifi,Vinx,30mbps,abg_alorstar@unifibiz,04-7308671,,4G - YES LTE ,N'osairis,YESLB0122849,8.96015E+18,01117185987@YES.MY,10.31.5.1,10.122.39.254,,,,,,,,,"No. 99 Jalan Gangsa, 05150 Alor Setar, Kedah"
2,23,ABG Ampang,Aeon BIG,vxma00027v,ABG_Ampang,Selangor,14-Oct-16,,FGL204023HV,TM - Unifi,Vinx,30mbps,abg_ampang@unifibiz,03-42853652,114425051,4G - YES LTE ,N'osairis,YESLB0123037,8.96015E+18,01117185980@YES.MY,10.12.5.1,10.168.7.254,,,,,,,,,"Lot 613 Taman Dagang Permai Mukim Ampang 68000 Ampang, Selangor"
3,20,ABG Batu Pahat,Aeon BIG,vxmb00022v,ABG_Batupahat,Johor,17-Oct-16,,FGL204023GY,TM - Unifi,Vinx,20mbps,abg_batupahat@unifibiz,07-4393114,1031610593,4G - YES LTE ,N'osairis,YESLB0122840,8.96015E+18,01117192327@YES.MY,10.10.5.1,10.150.199.254,,,,,,,,,"No 1B, Jalan Persiaran Flora Utama, Taman Flora Utama, 83000 Batu Pahat, Johor Darul Takzim"
4,33,ABG Bukit Minyak,Aeon BIG,vxmb00027v,ABG_Bukitminyak,Penang,24-Oct-16,,FGL204023L0,TM - Unifi,Vinx,30mbps,abg_bminyak@unifibiz,04-5059235,,4G - YES LTE ,N'osairis,YESLB0122842,8.96015E+18,01117192328@YES.MY,10.23.5.1,10.168.167.254,,,,,,,,,"No 1,Tingkat Bukit Minyak 9, Taman Bukit Minyak, 14000 Bukit Mertajam, Penang."
5,30,ABG Bukit Rimau,Aeon BIG,vxmb00020v,ABG_Bukitrimau,Selangor,11-Oct-16,,FGL204023HQ,TM - Unifi,Vinx,300mbps, abg_bukitrimau1@unifibiz,03-51318974,1040623934,4G - YES LTE ,N'osairis,YESZA0163676,8.96015E+18,01117192336@YES.MY,10.22.5.1,10.168.151.254,,,,,,,,,"NO.2, Jalan Sungai Burung 32/68. Seksyen 32 40460, Shah Alam, Selangor"
6,39,ABG Danau Kota,Aeon BIG,vxma00082v,ABG_DanauKota,Kuala Lumpur,1-Nov-18,,FGL221392JL,TM - UniFi ,Vinx,30Mbps,abg_danaukota@unifibiz,60341318310,1041414846,3G - Maxis,N'osairis,8.96001E+18,30GB,,10.14.5.1,,,,,,,,,,"AEONBIG Danau Kota, Store Management Office,Mezzanine Floor, LOT PT9834,Jalan Langkawi, Taman Danau Kota,Setapak, Kuala Lumpur."
7,38,ABG Falim,Aeon BIG,vxmb00026v,ABG_Falim,Perak,21-Oct-16,,FGL204023GS,TM - Unifi,Vinx,300mbps,abg_falim1@unifibiz,05-2810392,1040623777,4G - YES LTE ,N'osairis,YESLB0122850,8.96015E+18,01117186015@YES.MY,10.32.5.1,10.122.47.254,,,,,,,,,"No. 1, Hala Falim 1, Taman Mas Jaya, Falim, 30200 Ipoh Perak"
8,40,ABG Jaya One,Aeon BIG,vxma00103v,0040_ABG_JayaOne,Selangor,6-Feb-20,,FGL225013BR,TM Unifi,Vinx,30mbps,abg_jnoe@unifibiz,60379322201,,3G - Digi,TNS,8.96016E+19,,,10.7.5.1/24,,,,,,,,,,"100-P2.001, Block J, The School, Jaya One, 46200 Petaling Jaya, Selangor. "
9,19,ABG Kepong,Aeon BIG,vxma00020v,,Kuala Lumpur,5-Oct-16,,FGL204023K1,TM - Unifi,Vinx,20mbps,abg_kepong@unifibiz,03-61794615,1031262411,4G - YES LTE ,N'osairis,YESLB0122832,8.96015E+18,01117192317@YES.MY,10.9.5.1,10.150.151.254,,,,,,,,,"No.2, Jalan Metro Perdana, Taman Usahawan Kepong, 52100 Kuala Lumpur."
10,21,ABG Klang,Aeon BIG,vxmb00019v,ABG_Klang,Selangor,10-Oct-16,,FGL204023HF,TM - Unifi,Vinx,30mbps,abg_klang@unifibiz,60333582790,,4G - YES LTE ,N'osairis,YESLB0122841,8.96015E+18,01117193976@YES.MY,10.11.5.1,10.150.215.254,,,,,,,,,"No.2, Jalan Harmoni 3/KU3, Sungai Pinang, 41000 Klang, Selangor Darul Ehsan"
