NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY,,,,,,,,,,
1,192608,4,3,ABG,Vinx::Aeon BIG::0038_ABG Falim,Monitoring,03/01/2020 7:03:00,03/01/2020 14:33:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Telco Outage,Issue resolved once outage rectified,Shalini,,,,,,,,,,
2,192694,4,2,ABG,Vinx::Aeon BIG::0018_ABG Putrajaya,Monitoring,03/01/2020 18:04:00,03/01/2020 18:47:00,03/01/2020 18:04:00,03/01/2020 18:47:00,0 days 0 hrs 43 mins ,,Others::Customer - Power Outage,Link up once power resume,Shalini,,,,,,,,,,
3,192591,4,3,ABG,Vinx::Aeon BIG::0020_ABG Batu Pahat,Monitoring,03/01/2020 4:00:00,03/01/2020 6:00:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is up once Telco bounce backup tunnels,Shalini,,,,,,,,,,
4,192605,4,3,AMY,Vinx::AMY::1010_AMY Permas Jaya,Monitoring,03/01/2020 6:54:00,03/01/2020 12:44:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Modem Hang,Link restored after YES LTE Modem rebooted,Shalini,,,,,,,,,,
6,192896,1,3,Wellness,Vinx::Wellness::5016_Wellness AMY Kulai Jaya,Monitoring,03/02/2020 0:41:00,03/02/2020 2:48:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Flapping,Self restored. TM unable to reset port as the port down from TM end.,Wany,,,,,,,,,,
7,192906,1,2,Daiso,Vinx::Daiso::5116_Daiso AMY Kulai Jaya,Monitoring,03/02/2020 1:09:00,03/02/2020 2:47:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Wany,,,,,,,,,,
8,192926,1,3,AMY,Vinx::AMY::1006_AMY Ipoh Kinta City,Monitoring,03/02/2020 4:03:00,03/02/2020 4:54:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Yes LTE 4G self restored.,Wany,,,,,,,,,,
10,192774,1,2,Wellness,Vinx::Wellness::5086_Wellness Saradise Mall,Monitoring,03/02/2020 11:46:00,03/02/2020 11:53:00,03/02/2020 11:46:00,03/02/2020 11:53:00,0 days 0 hrs 7 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Wany,,,,,,,,,,
11,192832,1,3,Wellness,Vinx::Wellness::5095_Wellness Desa Park City,Client,03/02/2020 15:46:00,03/03/2020 11:54:00,,,0 days 0 hrs 0 mins ,,WAN::WAN VoIP - Cabling,"TMFE attended site check no issue on the ATA but the RJ11 towards splitter loose, TMFE have tighten the cable and phone working fine.",Wany,,,,,,,,,,
12,192841,1,3,MaxValue,Vinx::MaxValue::3020_MaxValue New Desa Park,Monitoring,03/02/2020 18:44:00,03/02/2020 19:38:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Primary link up after telco reset port and PIC rebooted TM modem,Wany,,,,,,,,,,
13,193098,1,3,Wellness,Vinx::Wellness::5043_Wellness Aman Sentral,Monitoring,03/02/2020 20:06:00,03/02/2020 22:10:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Backup 3G restored after TNS refresh cellular interface.,Wany,,,,,,,,,,
14,192857,1,2,Wellness,Vinx::Wellness::5054_Wellness TTDI,Monitoring,03/02/2020 22:17:00,03/02/2020 23:01:00,03/02/2020 22:17:00,03/02/2020 23:01:00,0 days 0 hrs 44 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Wany,,,,,,,,,,
15,192861,1,3,Wellness,Vinx::Wellness::5084_Wellness R&F Mall,Monitoring,03/02/2020 22:49:00,03/02/2020 23:28:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is up and stable after telco refresh cellular network,Wany,,,,,,,,,,
18,193132,1,2,AMY,Vinx::AMY::1005_AMY Bukit Raja (Bandar Baru Klang),Monitoring,03/04/2020 0:06:00,03/04/2020 0:14:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Links are up once power resumed,Farhan,,,,,,,,,,
20,193137,1,2,Wellness,Vinx::Wellness::5016_Wellness AMY Kulai Jaya,Monitoring,03/04/2020 0:28:00,03/04/2020 2:03:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power is resumed,Farhan,,,,,,,,,,
21,193138,1,2,AMY,Vinx::AMY::1028_AMY Kulai Jaya,Monitoring,03/04/2020 0:29:00,03/04/2020 2:03:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Links are up once power resumed,Farhan,,,,,,,,,,
22,193149,1,3,Daiso,Vinx::Daiso::5141_Daiso Kuching Central,Monitoring,03/04/2020 2:54:00,03/04/2020 3:51:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is up once telco refresh cellular connection,Farhan,,,,,,,,,,
23,193200,1,3,Wellness,Vinx::Wellness::5091_Wellness Bele Time,Monitoring,03/04/2020 10:18:00,03/04/2020 13:25:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link up once Telco reset cellular network,Farhan,,,,,,,,,,
24,193208,1,3,ABG,Vinx::Aeon BIG::0018_ABG Putrajaya,Monitoring,03/04/2020 11:22:00,03/04/2020 12:30:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is up once TM modem rebooted,Farhan,,,,,,,,,,
25,193248,1,3,ABG,Vinx::Aeon BIG::0016_ABG Midvalley,Client,03/04/2020 15:56:00,03/04/2020 16:56:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Application, Link is stable after we refresh session and reset port.,Farhan,,,,,,,,,,
26,193253,1,3,Wellness,Vinx::Wellness::5072_Wellness Southkey Megamall,Monitoring,03/04/2020 17:49:00,03/05/2020 17:00:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Telco Outage,"As informed by Celcom, this area is having minor congestion. They already reset sim network. Link is up once Telco rectified the issue.",Farhan,,,,,,,,,,
27,193260,1,3,Wellness,Vinx::Wellness::5062_Wellness Tebrau City,Monitoring,03/04/2020 19:19:00,03/04/2020 21:09:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link Up once Telco reset port followed by TM modem rebooted,Farhan,,,,,,,,,,
28,193418,1,3,ABG,Vinx::Aeon BIG::0011_ABG Subang (HQ),Monitoring,03/05/2020 5:37:00,03/11/2020 3:27:00,,,0 days 0 hrs 0 mins ,,WAN::WAN - High Utilization,High Utilization Due To Maintenance Activity at Data Center. Link is normalized once maintenance activity complete,Shalini,,,,,,,,,,
29,193381,1,3,AMY,Vinx::AMY::9000_AMY Maluri (HQ),Monitoring,03/05/2020 10:22:20,03/07/2020 8:03:00,,,0 days 0 hrs 0 mins ,,WAN::WAN - High Utilization,Link is monitored up after patching activity completed,Shalini,,,,,,,,,,
31,193458,1,2,AMY,Vinx::AMY::1028_AMY Kulai Jaya,Monitoring,03/06/2020 0:48:00,03/06/2020 2:02:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link up once power resumed.,Shalini,,,,,,,,,,
32,193459,1,2,Wellness,Vinx::Wellness::5016_Wellness AMY Kulai Jaya,Monitoring,03/06/2020 0:48:00,03/06/2020 2:06:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link up once power resumed.,Shalini,,,,,,,,,,
33,193461,1,2,Daiso,Vinx::Daiso::5116_Daiso AMY Kulai Jaya,Monitoring,03/06/2020 1:10:00,03/06/2020 1:59:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link up once power resumed.,Shalini,,,,,,,,,,
34,193470,1,3,Wellness,Vinx::Wellness::5040_Wellness AMY Intermark,Monitoring,03/06/2020 2:03:00,03/06/2020 6:07:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping, Link restored after telco reset sim and we performed reset network celullar,Shalini,,,,,,,,,,
35,193475,1,3,Daiso,Vinx::Daiso::5151_Daiso Eko Cheras,Monitoring,03/06/2020 2:37:00,03/06/2020 10:04:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link up after TM refresh session.,Shalini,,,,,,,,,,
36,193477,1,3,Daiso,Vinx::Daiso::5123_Daiso Dpulze,Monitoring,03/06/2020 3:27:00,03/06/2020 3:47:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link resored after telco refresh session,Shalini,,,,,,,,,,
38,193528,1,3,ABG,Vinx::Aeon BIG::0031_ABG Shah Alam,Client,03/06/2020 10:06:00,03/06/2020 14:53:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Application,Client escalated slowness on email application only. Suspected due to high utilization at DC level.Issue resolved after PIC reboot TM modem and YES 4G LTE modem.,Shalini,,,,,,,,,,
39,193522,1,3,ABG,Vinx::Aeon BIG::0034_ABG Kluang,Client,03/06/2020 10:56:00,03/06/2020 11:58:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Application,Client escalated slowness on email application only. Suspected due to high utilization at DC level.Issue resolved after PIC reboot TM modem.,Shalini,,,,,,,,,,
40,193534,1,3,ABG,Vinx::Aeon BIG::0024_ABG Kuantan,Client,03/06/2020 12:06:00,03/06/2020 17:56:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Application,Client escalated slowness on email application only. Suspected due to high utilization at DC level.Issue resolved after PIC reboot TM modem.,Shalini,,,,,,,,,,
42,193578,1,3,AMY,Vinx::AMY::1014_AMY Cheras Selatan,Monitoring,03/06/2020 22:12:00,03/06/2020 23:22:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Telco Outage,Link is up and restored after Telco rectified the issue,Shalini,,,,,,,,,,
44,193716,1,3,ABG,Vinx::Aeon BIG::0021_ABG Klang,Monitoring,03/08/2020 1:02:00,03/08/2020 1:48:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link restored after telco refresh session.,Nathasha,,,,,,,,,,
45,193744,1,3,ABG,Vinx::Aeon BIG::0011_ABG Subang (HQ),Monitoring,03/08/2020 9:15:21,03/08/2020 8:32:21,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link up once both TM Router been rebooted,Nathasha,,,,,,,,,,
46,193774,1,3,ABG,Vinx::Aeon BIG::0021_ABG Klang,Monitoring,03/08/2020 12:14:00,03/08/2020 16:15:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Modem Hang,Link is up once YES 4G LTE modem rebooted,Nathasha,,,,,,,,,,
47,193826,2,3,Daiso,Vinx::Daiso::5119_Daiso AMY Taiping,Monitoring,03/09/2020 3:21:00,03/09/2020 3:57:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Backup link is up once Telco reset sim network cellular.,Nathasha,,,,,,,,,,
48,193854,2,3,ABG,Vinx::Aeon BIG::0026_ABG Tropicana City Mall,Monitoring,03/09/2020 8:48:00,03/10/2020 13:14:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,Intermittent issue resolved after TM reset port and TM modem rebooted,Nathasha,,,,,,,,,,
49,193857,2,3,ABG,Vinx::Aeon BIG::0016_ABG Midvalley,End User,03/09/2020 9:31:00,03/10/2020 10:53:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,Intermittent issue resolved after TM reset port ,Nathasha,,,,,,,,,,
51,193860,2,3,ABG,Vinx::Aeon BIG::0024_ABG Kuantan,End User,03/09/2020 10:05:00,03/09/2020 14:51:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Intermittent,Intermittent issue resolved after TM reset port and TM modem rebooted,Nathasha,,,,,,,,,,
54,193973,2,2,Daiso,Vinx::Daiso::5132_Daiso Sunway Velocity,Monitoring,03/10/2020 0:45:00,03/10/2020 3:54:00,,,0 days 0 hrs 0 mins ,,Others::Customer - Power Outage,Link is up once power resumed,Wany,,,,,,,,,,
57,193988,2,3,Wellness,Vinx::Wellness::5010_Wellness Bandar Sunway,Monitoring,03/10/2020 5:02:00,03/10/2020 5:56:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Primary link up after TM reset port and session,Wany,,,,,,,,,,
58,193989,2,3,AMY,Vinx::AMY::1017_AMY Bandar Sunway,Monitoring,03/10/2020 5:02:00,03/10/2020 5:49:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Primary link is up after TM refresh port and session ,Wany,,,,,,,,,,
61,194021,2,3,Wellness,Vinx::Wellness::5061_Wellness Dataran Pahlawan,Monitoring,03/10/2020 9:41:00,03/10/2020 10:05:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Primary link is up after TM refresh session,Wany,,,,,,,,,,
